text,sentiment
I love this product,positive
This product is amazing,positive
Excellent service,positive
Very happy with this purchase,positive
I really enjoyed this,positive
Fantastic experience,positive
Best product ever,positive
Very useful and good,positive
I am satisfied,positive
Wonderful quality,positive
I hate this product,negative
Worst experience ever,negative
Very disappointed,negative
Terrible service,negative
Bad quality,negative
Waste of money,negative
Very poor product,negative
I regret buying this,negative
Completely useless,negative
Awful experience,negative
This is okay,neutral
Average product,neutral
Nothing special,neutral
Normal experience,neutral
Fine but not great,neutral
Not bad,neutral
Acceptable product,neutral
It is normal,neutral
Average quality,neutral
Moderate experience,neutral
